animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_name,album_file,album_base64,album_update,cDate,shelter_address,shelter_tel,
10606021701002,0601Q5-4,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黃,CHILD,F,N,大樹區姑山里鎮和宮,,OPEN,,,2017-06-02,2999-12-31,2017-08-19 23:58:55,2017-06-02 08:51:37,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/62c0d020198f6ef2ede3ba355bdbd3ee.jpg,,,2017/8/20 上午 12:03:20,高雄市鼓山區萬壽路350號,07-5519059,
10608171005002,10608010020,10,91,中途動物醫院,狗,M,MEDIUM,黃白,CHILD,T,N,,,OPEN,我在大里區 愛普生動物醫院開放認養 歡迎來電詢問04-24950118,,2017-08-17,2999-12-31,2017-08-19 23:58:35,2017-08-17 15:49:17,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/75070078922ac228849d57861373c81a.png,,,2017/8/20 上午 12:03:35,,,
10608041301017,106-K032D,13,89,斗南代養場,狗,M,BIG,白色,ADULT,N,N,台西鄉蚊港村,,OPEN,,,2017-08-18,2999-12-31,2017-08-19 23:58:26,2017-08-04 15:03:03,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1501831472_89_ee48417439d28ac888bcf61879b01258.JPG,,,2017/8/20 上午 12:03:36,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10608181301002,106-A020D,13,89,明志動物醫院,狗,F,BIG,棕色,ADULT,N,N,防疫所點交,,OPEN,,,2017-08-18,2017-08-30,2017-08-19 23:58:14,2017-08-18 11:13:36,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1503043181_89_4d3cac9b7495ff2f64fc058bbdb3cd4f.JPG,,,2017/8/20 上午 12:03:35,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10512150601015,20161215010,6,61,,狗,F,MEDIUM,黑,ADULT,F,N,新屋區,,OPEN,,,2016-12-15,2999-12-31,2017-08-19 23:57:42,2016-12-15 15:59:18,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/0fe684033db4754055acfc20e1530e07.jpg,,,2017/8/20 上午 12:02:23,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10601041601007,W051221-06,16,73,台南市灣裡站動物之家,狗,F,SMALL,白,CHILD,F,N,安平區建平八街,,OPEN,,,2017-01-04,2999-12-31,2017-08-19 23:57:37,2017-01-04 14:54:11,臺南市動物之家灣裡站,,http://animal-adoption.coa.gov.tw/uploads/animal_album/73/f3534d2d95976ec80439a04c554a92bf.jpg,,,2017/8/20 上午 12:02:29,臺南市南區省躬里14鄰萬年路580巷92號,06-2964439,
10603201701013,0320H3-6,17,75,高雄市壽山站動物保護教育園區,狗,F,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017-03-20,2999-12-31,2017-08-19 23:57:11,2017-03-20 14:35:51,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/3a4fb66b0d8fc033c0700c878d44e81a.jpg,,,2017/8/20 上午 12:02:50,高雄市鼓山區萬壽路350號,07-5519059,
10511290601072,20161129024,6,61,,貓,F,SMALL,其他,CHILD,F,N,平鎮區,,OPEN,,,2016-11-29,2999-12-31,2017-08-19 23:56:50,2016-11-29 16:24:44,桃園市動物保護教育園區,,,,,2017/8/20 上午 12:02:15,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10603281701001,0327Q1-2,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黃,CHILD,F,N,林園區下厝路,,OPEN,,,2017-03-28,2999-12-31,2017-08-19 23:56:43,2017-03-28 09:59:46,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/69d8091244a3f3287c080d53dd2c5257.jpg,,,2017/8/20 上午 12:02:53,高雄市鼓山區萬壽路350號,07-5519059,
10607281301010,106-L034D,13,89,斗六代養場,狗,M,SMALL,黑棕,CHILD,F,N,西螺鎮大新里,,OPEN,,,2017-08-18,2999-12-31,2017-08-19 23:56:36,2017-07-28 10:02:37,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1501230489_89_bcd24895f4ba960bdd4ae128779cd3b4.JPG,,,2017/8/20 上午 12:03:36,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
